ca.rmen.android.poetassistant - Crashes by Android Version for 2017-03-15 - 2019-02-24
,,Metric,Crashes,Notes
,,Dimension,All Android versions
Period,Date
2017-03-15 - 2019-02-24,2018-01-18,,1,Rollout of release - Increased rollout of 1.26.2 to 100%
2017-03-15 - 2019-02-24,2018-01-19,,3
2017-03-15 - 2019-02-24,2018-01-20,,1
2017-03-15 - 2019-02-24,2018-01-21,,3
2017-03-15 - 2019-02-24,2018-01-22,,1
2017-03-15 - 2019-02-24,2018-01-23,,3
2017-03-15 - 2019-02-24,2018-01-24,,2
2017-03-15 - 2019-02-24,2018-01-25,,2
2017-03-15 - 2019-02-24,2018-01-26,,1
2017-03-15 - 2019-02-24,2018-01-27,,2
2017-03-15 - 2019-02-24,2018-01-28,,1
2017-03-15 - 2019-02-24,2018-01-29,,1
2017-03-15 - 2019-02-24,2018-01-30,,6
2017-03-15 - 2019-02-24,2018-01-31,,3
2017-03-15 - 2019-02-24,2018-02-01,,1
2017-03-15 - 2019-02-24,2018-02-02,,4
2017-03-15 - 2019-02-24,2018-02-03,,1
2017-03-15 - 2019-02-24,2018-02-04,,3
2017-03-15 - 2019-02-24,2018-02-05,,-
2017-03-15 - 2019-02-24,2018-02-06,,1
2017-03-15 - 2019-02-24,2018-02-07,,1
2017-03-15 - 2019-02-24,2018-02-08,,-
2017-03-15 - 2019-02-24,2018-02-09,,6
2017-03-15 - 2019-02-24,2018-02-10,,4
2017-03-15 - 2019-02-24,2018-02-11,,2
2017-03-15 - 2019-02-24,2018-02-12,,3
2017-03-15 - 2019-02-24,2018-02-13,,1
2017-03-15 - 2019-02-24,2018-02-14,,-
2017-03-15 - 2019-02-24,2018-02-15,,4
2017-03-15 - 2019-02-24,2018-02-16,,1
2017-03-15 - 2019-02-24,2018-02-17,,5
2017-03-15 - 2019-02-24,2018-02-18,,2
2017-03-15 - 2019-02-24,2018-02-19,,2
2017-03-15 - 2019-02-24,2018-02-20,,2
2017-03-15 - 2019-02-24,2018-02-21,,-
2017-03-15 - 2019-02-24,2018-02-22,,3
2017-03-15 - 2019-02-24,2018-02-23,,2
2017-03-15 - 2019-02-24,2018-02-24,,-
2017-03-15 - 2019-02-24,2018-02-25,,3,"Rollout of release - Started rollout of 1.26.3 at 5%, Rollout of release - Halted rollout of 1.26.3, Rollout of release - Resumed rollout of 1.26.3 at 5%"
2017-03-15 - 2019-02-24,2018-02-26,,2
2017-03-15 - 2019-02-24,2018-02-27,,1
2017-03-15 - 2019-02-24,2018-02-28,,-
2017-03-15 - 2019-02-24,2018-03-01,,-
2017-03-15 - 2019-02-24,2018-03-02,,-
2017-03-15 - 2019-02-24,2018-03-03,,1
2017-03-15 - 2019-02-24,2018-03-04,,-
2017-03-15 - 2019-02-24,2018-03-05,,5
2017-03-15 - 2019-02-24,2018-03-06,,5
2017-03-15 - 2019-02-24,2018-03-07,,-
2017-03-15 - 2019-02-24,2018-03-08,,-
2017-03-15 - 2019-02-24,2018-03-09,,1
2017-03-15 - 2019-02-24,2018-03-10,,4
2017-03-15 - 2019-02-24,2018-03-11,,3
2017-03-15 - 2019-02-24,2018-03-12,,5
2017-03-15 - 2019-02-24,2018-03-13,,-
2017-03-15 - 2019-02-24,2018-03-14,,4
2017-03-15 - 2019-02-24,2018-03-15,,1
2017-03-15 - 2019-02-24,2018-03-16,,6,Rollout of release - Increased rollout of 1.26.3 to 25%
2017-03-15 - 2019-02-24,2018-03-17,,1
2017-03-15 - 2019-02-24,2018-03-18,,1
2017-03-15 - 2019-02-24,2018-03-19,,-,Metric update - NOTE: Total crashes may be under-reported
2017-03-15 - 2019-02-24,2018-03-20,,3
2017-03-15 - 2019-02-24,2018-03-21,,1
2017-03-15 - 2019-02-24,2018-03-22,,-
2017-03-15 - 2019-02-24,2018-03-23,,2,Rollout of release - Increased rollout of 1.26.3 to 50%
2017-03-15 - 2019-02-24,2018-03-24,,1
2017-03-15 - 2019-02-24,2018-03-25,,7
2017-03-15 - 2019-02-24,2018-03-26,,4
2017-03-15 - 2019-02-24,2018-03-27,,3
2017-03-15 - 2019-02-24,2018-03-28,,3
2017-03-15 - 2019-02-24,2018-03-29,,2
2017-03-15 - 2019-02-24,2018-03-30,,1
2017-03-15 - 2019-02-24,2018-03-31,,2
2017-03-15 - 2019-02-24,2018-04-01,,-
2017-03-15 - 2019-02-24,2018-04-02,,4
2017-03-15 - 2019-02-24,2018-04-03,,8
2017-03-15 - 2019-02-24,2018-04-04,,3
2017-03-15 - 2019-02-24,2018-04-05,,3
2017-03-15 - 2019-02-24,2018-04-06,,2
2017-03-15 - 2019-02-24,2018-04-07,,1,Rollout of release - Increased rollout of 1.26.3 to 100%
2017-03-15 - 2019-02-24,2018-04-08,,2,Rollout of release - Started rollout of 1.26.4 at 50%
2017-03-15 - 2019-02-24,2018-04-09,,2
2017-03-15 - 2019-02-24,2018-04-10,,-
2017-03-15 - 2019-02-24,2018-04-11,,3
2017-03-15 - 2019-02-24,2018-04-12,,1
2017-03-15 - 2019-02-24,2018-04-13,,-
2017-03-15 - 2019-02-24,2018-04-14,,2
2017-03-15 - 2019-02-24,2018-04-15,,3
2017-03-15 - 2019-02-24,2018-04-16,,1
